index	WEO_Subject_Code	ISO	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates_Start_After
2429	PPPGDP	FJI	1.433	1.661	1.744	1.737	1.98	1.967	2.139	2.035	2.18	2.579	2.829	2.845	3.087	3.242	3.48	3.645	3.89	3.862	3.954	4.364	4.388	4.573	4.792	4.926	5.335	5.435	5.708	5.808	5.981	5.942	6.195	6.493	6.706	7.137	7.672	8.032	8.298	8.798	9.329	9.87	10.418	11.005	11.623	2015
2473	PPPGDP	FIN	44.985	49.822	54.547	58.47	62.491	66.771	69.974	74.315	80.924	88.347	92.237	89.669	88.664	90.106	95.65	101.752	107.399	116.069	123.696	131.171	141.715	148.686	153.506	159.689	170.522	180.902	194.021	209.512	215.161	198.869	207.322	217.041	217.887	219.726	222.248	225.242	231.37	239.662	248.459	257.746	266.936	276.502	286.603	2016
2517	PPPGDP	FRA	578.363	639.182	695.869	732.425	769.98	807.519	843.169	886.975	961.482	1,042.35	1,112.41	1,161.38	1,206.85	1,227.99	1,283.55	1,337.64	1,380.95	1,437.43	1,504.70	1,579.78	1,678.33	1,750.13	1,796.88	1,847.72	1,951.44	2,046.60	2,159.59	2,269.41	2,318.45	2,267.34	2,340.16	2,438.12	2,487.57	2,542.31	2,604.31	2,665.86	2,733.68	2,833.06	2,944.26	3,061.48	3,179.32	3,303.08	3,434.45	2016
2561	PPPGDP	GAB	6.775	7.112	7.863	8.336	9.055	9.887	9.874	8.567	9.177	11.005	12	13.158	13.043	13.88	14.702	15.755	16.624	17.879	18.702	17.29	17.35	18.127	18.44	19.127	19.873	20.351	20.576	22.462	23.299	22.941	24.677	26.973	28.912	31	32.955	34.601	35.85	36.999	38.833	41.318	44.104	47.122	50.459	2015
2605	PPPGDP	GMB	0.435	0.431	0.552	0.652	0.623	0.667	0.696	0.734	0.773	0.838	0.918	0.969	1.009	1.072	1.058	1.116	1.169	1.206	1.298	1.402	1.514	1.637	1.608	1.753	1.928	1.972	2.055	2.186	2.357	2.528	2.726	2.663	2.864	3.049	3.132	3.302	3.427	3.607	3.816	4.041	4.275	4.531	4.811	2013
2649	PPPGDP	GEO	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7.542	7.899	8.888	9.995	10.394	10.866	11.386	12.194	13.072	14.822	16.112	18.225	20.555	23.757	24.808	24.084	25.902	28.346	30.701	32.254	34.349	35.719	37.174	39.318	41.8	44.62	47.792	51.425	55.403	2016
2693	PPPGDP	DEU	866.222	948.148	999.039	1,054.62	1,122.91	1,184.25	1,237.33	1,287.55	1,382.41	1,492.36	1,636.13	1,775.31	1,843.28	1,868.54	1,956.70	2,033.71	2,088.57	2,164.73	2,227.07	2,302.95	2,430.43	2,531.38	2,570.86	2,603.34	2,693.59	2,804.58	3,002.74	3,186.68	3,275.70	3,116.82	3,279.53	3,471.83	3,560.05	3,638.97	3,763.23	3,860.11	3,980.28	4,134.67	4,291.99	4,448.21	4,596.48	4,746.81	4,902.40	2015
2737	PPPGDP	GHA	9.73	10.266	10.149	10.038	11.326	12.284	13.183	14.168	15.489	16.91	18.119	19.714	20.95	22.246	23.541	25.049	26.692	28.464	30.124	31.939	33.887	36.108	38.33	41.146	44.636	48.775	53.416	57.222	63.682	67.274	73.474	85.526	95.196	103.807	109.878	115.409	121.652	131.498	146.762	158.866	170.253	182.694	196.432	2015
2781	PPPGDP	GRC	87.056	93.703	98.392	101.174	106.867	113.058	115.931	116.207	125.432	135.26	140.264	149.427	153.9	155.041	161.508	168.338	176.318	187.378	196.788	205.938	218.879	233.117	245.98	265.423	286.524	297.513	323.988	343.498	349.062	336.587	322.035	298.666	281.962	277.228	283.188	285.607	289.398	302.15	317.249	331.346	344.927	358.267	369.45	2016
2825	PPPGDP	GRD	0.19	0.211	0.233	0.251	0.27	0.295	0.323	0.362	0.385	0.415	0.449	0.47	0.477	0.479	0.498	0.52	0.552	0.589	0.666	0.723	0.777	0.779	0.818	0.913	0.933	1.09	1.079	1.175	1.21	1.138	1.146	1.179	1.187	1.234	1.349	1.448	1.512	1.588	1.667	1.75	1.833	1.92	2.013	2015
